"PNuid_NLidu","Name_en","Nom_fr","Latitude","Longitude","satellite_dep","wo_backbone_fibre_sans_fibre_dorsale","CTI_backbone_dorsale_BPI"
5993,"Lake Dalrymple","Lake Dalrymple",44.663611,-79.0975,0,0,0
5994,"Kirkfield","Kirkfield",44.563612,-78.979722,0,0,0
5995,"Sylvan Glen Beach","Sylvan Glen Beach",44.603394,-79.124619,0,0,0
5996,"Moore Falls","Moore Falls",44.806944,-78.808888,0,0,0
5997,"Lutterworth","Lutterworth",44.886945,-78.754722,0,0,0
5998,"Ingoldsby","Ingoldsby",44.957777,-78.622222,0,0,0
5999,"Horseshoe Lake","Horseshoe Lake",44.996388,-78.693333,0,0,0
6000,"Maple Lake","Maple Lake",45.088055,-78.661388,0,0,0
6001,"Peterson Corner","Peterson Corner",45.040278,-78.749445,0,0,0
6002,"Lakewood","Lakewood",45.005277,-79.088334,0,0,0
6003,"Stoneleigh","Stoneleigh",45.104445,-79.249444,0,0,0
6004,"Port Cunnington","Port Cunnington",45.258611,-79.026943,0,0,0
6005,"Lumina","Lumina",45.289723,-79.019167,0,0,0
6006,"Glenmount","Glenmount",45.211895,-79.036272,0,0,0
6007,"Allensville","Allensville",45.261389,-79.304443,0,0,0
